지금, 만나러 갑니다
10,다케우치 유코 배우님 평생 잊지 못할꺼에요!!
10,ご冥福を心よりお祈り申し上げます
10,영화 속 당신의 대사처럼 당신 덕분에 마음이 참 따뜻했습니다. 진심으로 고맙습니다.그곳에선 부디 근심 없이 행복하게 지냈으면 합니다. 영화 속 당신은 비의 계절에 찾아왔지만, 당신의 미소를 닮은 맑고 화사한 날에 당신이 더욱 그리울 것 같습니다.삼가 고인의 명복을 빕니다
8,이건 명작이지만 헤어진여자친구랑봤던영화라 더욱더 이포스터만 보면 슬펐던기억이 나네요순수하게좋아했던 시절이 생각납니다
10,이 영화를 보고 울지 않는다면 이 영화를 보지 않은거다
10,삼가 고인의 명복을 빕니다.
10,안타깝습니다....영면을 빕니다
10,삼가 고인의 명복을 빕니다.
10,삼가 고인의 명복을 빕니다. 이젠 정말로 떠나셨네요... 진짜 안녕.
10,부디 하늘에선 편히 쉬시길바라겠습니다여름 비가많이 오는날엔 당신이 생각날거에요
10,
10,엄마가 초등학교때 돌아가셔서 이영화보면서 엄마생각나서 많이울었는데...이영화를 계기로 유코님팬이되기도했는데 안타까운부고소식을 듣고 다시한번보네요...영화가 현실이되버린거같아서 마음이 너무아픕니다. 그곳에서는 부디 행복하시길 바랄게요...
10,다케우치 유코님.. 삼가 고인의 명복을 빕니다..
10,R.I.P 고통없는 곳에서 편히 쉬시길..
10,정말 10점만점이 아깝지 않은 영화...아까운 배우 한명을 잃었네요....ㅡㅜ
8,너무 유치할정도로 순수할수있지만 결국 눈물을 흘릴수밖에 없는 영화. 다케우치 유코 마음이 아픕니다. 명복을 빕니다.
10,삼가 고인의 명복을 빕니다
10,다케우치 유코...히로스에 료코와 함께 너무나도 좋아했던 배우인데 이렇게 갑자기 떠나다니 정말 안타깝네요 고인의 명복을 빕니다
10,고인의 명복을 빕니다 ㅜㅜ
10,고인의 명복을 빕니다 .. ㅠ
10,삼가 고인의 명복을 빕니다
10,다케우치 유코 고인의 명복을 빕니다
10,다케우치 유코님 명복을 빕니다~
10,내 인생 가장 슬프고 아름다운 영화였습니다. 따뜻한 눈빛과 사랑스런 미소를 지닌 그녀가 이렇게 떠나다니 믿겨지질 않네요. 우리 곁에 잠시 머물다 아카이브별로 떠난 그녀.. 삼가 고인의 명복을 빕니다.
10,나 손예진 좋아하지만 울나라 버젼은 유코만큼의 감동을 주지 못했던 작품.. 진짜 내 최애 영화.. 매년 보는데 볼때마다 울게되는...ㅠ 부디 그곳에서는 힘들지말고 행복하길....
10,영화 재밌었어요! 마지막으로 고인의 명복을 빕니다. 거기서는 행복하길 빕니다.
10,삼가 고인의 명복을 빕니다. 미오, 다케우치 유코, 지금 만나러 갑니다.
10,볼때마다 심장이 터질것 같은 명화
10,다케우치유코....삼가 고인의 명복을 빕니다....
10,일본 영화 중에 제일 좋아하는 일본 영화입니다. 다케우치 유코 이렇게 좋은 영화 남겨주셔서 감사합니다. 삼가 고인의 명복을 빕니다.
10,하늘에서도 행복하시길 바랄게요...ㅠㅠ
10,
10,다케우치 유코... 삼가 고인의 명복을 빕니다..
10,삼가 고인의 명복을 빕니다.
10,정말 감동깊게 봤던 영화였네요..다케우치 유코의 명복을 빕니다...
10,유코 ...삼가 고인의명복을빕니다...사랑해
10,잘가 미오~ㅠㅜ...
10,
1,일본 영화 개노잼 이걸왜봄
10,안본사람들  일단  봐~~
10,높은 곳에서 자유롭게 편안히 쉬세요.
10,최고의 영화였습니다 하늘나라에서는 고통없이 행복하게 살아가셨으면 좋겠습니다 고인의 명복을 빕니다
10,삼가 고인의 명복을 빕니다.
10,이게 바로 클라스라는 겁니다.
10,삼가 고인의 명복을 빕니다ㅠㅠ
10,일본영화는 처음부터 끝까지 보게된다
10,
10,여주인공의 연기가 인상 깊었던 작품입니다. 삼가 고인의 명곡을 빕니다.비의 계절에 다시 볼 수 있으면...
10,다케우치유코상. 편히 잠드소서
10,내가 좋아하는 영화 고인의 명복을 빕니다
10,유코님 방금 신문기사를 보고 너무 놀라 눈물만 납니다...제가 가장 좋아하는 영화가 '지금 만나러 갑니다' 에요.결혼전부터 가장 좋아하는 영화 였고,애기엄마가 되어 애기랑도 몇번을 같이 볼만큼 너무 좋아하는 영화에요.외국배우중에 가장 좋아하는 배우는 유코님 이구요. 영화속에서,눈빛으로 찢어지는 슬픔을 표현한 유코님의 연기...안꾸미고 화장 안해도 맑고 청순한 유코님의 얼굴...영원히 잊지 못할겁니다...유코님이 영화에서처럼 비의 계절에 팬들앞에 환생 했으면 좋겠습니다...유코님의 소중한 아기를 두고 떠나실만큼, 많이 힘드셨나봐요..제가 종교는 없지만, 유코님의 남겨진 아기의 행복을 위해 기도하겠습니다. 유코님 당신은 제 마음속 최고의 멋지고 아름다운 배우 입니다.하늘에서는 고통없이 편안 하시길 바랍니다....
